request_id,customer_segment,service_area,channel,region,request_type,urgency_score,previous_cases_90d,account_age_months,open_cases_at_submission,avg_response_minutes_30d,sentiment_score_at_submission,missing_documents_flag,weekend_submission,priority_class,sla_breach,resolution_days_post_outcome,post_resolution_status
REQ-00212,Public sector,Finance operations,Portal,London,Access issue,2,1,8,1,92.2,0.005,0,0,Low,0,4.0,On time
REQ-00213,SME,Facilities,Portal,Wales,Technical incident,5,3,2,0,61.3,-0.066,0,0,Urgent,1,9.3,Late - dependency
REQ-00214,Individual,Customer success,Portal,South East,Access issue,5,3,64,0,102.3,0.182,0,0,Urgent,1,9.7,Late - staffing
REQ-00215,Public sector,Customer success,Portal,Scotland,Policy question,5,2,48,0,5.0,0.285,0,0,Standard,0,7.1,On time
REQ-00216,Public sector,IT support,Email,London,Policy question,2,0,53,0,61.5,0.569,0,0,Low,0,3.6,Early close
REQ-00217,SME,IT support,Portal,North West,Policy question,4,2,66,0,53.4,0.189,0,1,Standard,1,8.4,Late - staffing
REQ-00218,SME,Customer success,Portal,Midlands,Billing query,1,0,24,0,103.5,-0.158,0,0,Low,0,0.5,On time
REQ-00219,Individual,Finance operations,Email,London,Technical incident,1,2,52,3,93.5,-0.097,0,0,Low,0,5.5,On time
REQ-00220,Enterprise,Customer success,Portal,South East,Change request,5,2,36,1,92.5,-0.545,1,1,Urgent,1,10.3,Late - complex
REQ-00221,SME,Facilities,Email,Northern Ireland,Change request,1,2,39,2,123.9,0.798,1,0,Low,0,3.3,Early close
REQ-00222,Enterprise,IT support,Portal,London,Technical incident,5,4,47,0,57.1,-0.194,0,0,Urgent,1,7.3,Late - complex
REQ-00223,Public sector,Customer success,Portal,London,Technical incident,3,3,34,5,116.7,0.485,0,0,Urgent,1,8.4,Late - staffing
REQ-00224,Individual,IT support,Portal,South East,Access issue,2,2,2,1,33.5,0.174,0,0,Standard,1,4.9,Late - complex
REQ-00225,SME,Finance operations,Portal,London,Technical incident,1,4,6,1,32.2,0.187,0,0,Low,0,4.2,On time
REQ-00226,Individual,HR services,Portal,South East,Technical incident,4,3,36,2,96.3,-0.003,0,0,Urgent,1,6.3,Late - dependency
REQ-00227,SME,HR services,Phone,South East,Billing query,4,1,41,0,17.3,-0.305,0,0,Urgent,1,9.9,Late - dependency
REQ-00228,Enterprise,Facilities,Portal,South East,Billing query,3,0,53,1,90.0,-0.386,0,1,Standard,1,4.3,Late - staffing
REQ-00229,Public sector,Facilities,Email,North West,Complaint,5,1,41,1,73.5,0.828,0,0,Urgent,1,8.2,Late - complex
REQ-00230,SME,Customer success,Email,South East,Technical incident,2,3,14,1,107.5,0.101,0,0,Standard,0,1.7,On time
REQ-00231,SME,Customer success,Portal,South East,Policy question,3,1,27,0,67.9,0.556,1,0,Standard,0,4.5,On time
REQ-00232,Enterprise,HR services,Email,London,Technical incident,2,2,32,1,72.0,0.673,0,0,Low,1,5.2,Late - dependency
REQ-00233,Individual,IT support,Portal,Wales,Policy question,3,1,70,0,87.8,-0.135,0,0,Standard,1,7.7,Late - staffing
REQ-00234,Public sector,Facilities,Portal,Midlands,Policy question,1,1,38,0,46.8,0.241,0,0,Low,0,2.2,On time
REQ-00235,Individual,Customer success,Portal,South East,Billing query,3,0,46,1,45.3,0.07,0,0,Low,0,5.6,On time
REQ-00236,Individual,Finance operations,Phone,Scotland,Policy question,3,2,53,0,86.6,-0.471,0,1,Standard,1,5.4,Late - staffing
REQ-00237,Enterprise,HR services,Chat,North West,Technical incident,3,0,26,2,69.0,-0.033,0,0,Standard,1,5.7,Late - complex
REQ-00238,Individual,Finance operations,Portal,London,Access issue,3,2,69,0,55.7,0.314,0,0,Urgent,1,6.3,Late - complex
REQ-00239,SME,IT support,Email,North West,Change request,4,0,48,1,67.1,-0.175,0,0,Urgent,1,7.5,Late - staffing
REQ-00240,SME,Facilities,Phone,London,Billing query,3,5,61,1,125.8,-0.096,0,0,Standard,1,7.9,Late - staffing
REQ-00241,Individual,Finance operations,Portal,Northern Ireland,Technical incident,2,3,54,0,54.5,-0.028,1,0,Standard,1,6.9,Late - complex
REQ-00242,Individual,Customer success,Phone,London,Technical incident,2,2,45,0,53.5,1.0,0,0,Standard,0,4.2,On time
REQ-00243,SME,Customer success,Email,Midlands,Technical incident,4,3,3,1,10.2,-0.775,0,0,Urgent,1,8.6,Late - dependency
REQ-00244,Enterprise,Customer success,Chat,London,Technical incident,5,0,42,0,68.5,0.276,0,0,Urgent,1,6.7,Late - complex
REQ-00245,Public sector,Finance operations,Chat,North West,Complaint,4,3,10,1,93.0,-0.064,0,1,Urgent,1,8.3,Late - dependency
REQ-00246,Individual,Finance operations,Portal,Scotland,Technical incident,4,2,43,0,99.3,-0.238,0,0,Standard,1,9.4,Late - staffing
REQ-00247,Public sector,Facilities,Portal,North West,Technical incident,5,0,50,2,73.8,-0.075,0,0,Urgent,1,5.8,Late - staffing
REQ-00248,Enterprise,Customer success,Email,Midlands,Technical incident,5,4,39,2,103.5,0.35,0,0,Urgent,1,9.6,Late - dependency
REQ-00249,Enterprise,HR services,Portal,Northern Ireland,Billing query,3,3,22,0,95.6,0.376,1,0,Standard,1,7.7,Late - dependency
REQ-00250,Enterprise,Customer success,Portal,Midlands,Billing query,1,2,5,0,109.0,0.134,0,1,Low,0,4.8,Early close
REQ-00251,Public sector,IT support,Chat,London,Policy question,4,1,48,0,104.5,0.542,0,0,Urgent,1,8.1,Late - dependency
REQ-00252,Individual,Customer success,Portal,Midlands,Billing query,4,3,50,3,124.9,0.621,0,0,Urgent,1,7.9,Late - dependency
REQ-00253,Enterprise,IT support,Portal,London,Policy question,2,1,34,1,64.1,0.417,0,1,Low,1,5.9,Late - staffing
REQ-00254,SME,IT support,Phone,Midlands,Policy question,5,2,51,1,23.6,-0.196,0,0,Standard,1,7.5,Late - complex
REQ-00255,SME,HR services,Portal,Wales,Technical incident,5,3,56,2,93.2,0.272,0,0,Urgent,1,8.2,Late - complex
REQ-00256,Individual,IT support,Email,North West,Billing query,2,1,37,1,97.3,0.275,0,0,Low,1,3.8,Late - complex
REQ-00257,Individual,IT support,Chat,London,Change request,3,1,4,1,124.9,-0.317,0,0,Standard,0,6.3,On time
REQ-00258,SME,IT support,Email,London,Policy question,1,0,62,0,114.8,-0.656,0,0,Low,1,4.7,Late - dependency
REQ-00259,SME,Finance operations,Portal,North West,Technical incident,1,0,34,1,138.1,-0.86,1,1,Low,1,3.1,Late - staffing
REQ-00260,Public sector,Facilities,Portal,Midlands,Access issue,2,2,48,1,91.7,0.081,0,0,Low,1,6.0,Late - staffing
REQ-00261,SME,IT support,Chat,Midlands,Policy question,2,0,65,2,78.0,0.184,0,0,Low,1,6.5,Late - staffing
REQ-00262,Individual,Facilities,Portal,Northern Ireland,Access issue,2,3,26,0,21.5,-0.482,0,0,Low,1,7.2,Late - dependency
REQ-00263,SME,Customer success,Email,London,Technical incident,1,2,45,1,80.8,0.521,0,0,Low,0,1.9,On time
REQ-00264,SME,IT support,Portal,South East,Billing query,3,1,2,1,50.7,0.118,1,0,Standard,1,2.5,Late - dependency
REQ-00265,Individual,IT support,Portal,North West,Complaint,4,1,63,0,77.4,0.657,1,0,Standard,1,7.7,Late - dependency
REQ-00266,SME,Customer success,Chat,Wales,Billing query,2,3,5,2,71.9,0.217,1,0,Standard,1,4.9,Late - staffing
REQ-00267,SME,Customer success,Email,North West,Technical incident,3,1,39,0,86.5,-0.43,1,0,Standard,1,7.0,Late - complex
REQ-00268,SME,HR services,Chat,North West,Billing query,2,2,25,0,66.6,0.256,0,0,Standard,1,6.8,Late - staffing
REQ-00269,SME,Customer success,Portal,Wales,Technical incident,4,2,3,0,102.7,0.352,0,0,Urgent,0,7.0,On time
REQ-00270,SME,IT support,Email,London,Policy question,4,1,33,3,5.0,-0.196,0,0,Urgent,0,7.5,Early close
REQ-00271,SME,Finance operations,Phone,Scotland,Policy question,5,1,67,2,76.6,-0.599,0,0,Standard,1,9.6,Late - dependency
REQ-00272,SME,Facilities,Portal,South East,Billing query,1,2,12,0,112.1,0.095,0,0,Low,0,5.1,On time
REQ-00273,SME,IT support,Portal,London,Access issue,5,3,21,1,135.5,-0.4,0,1,Urgent,1,10.4,Late - complex
REQ-00274,Public sector,Facilities,Phone,Midlands,Access issue,2,3,14,0,95.6,0.554,0,0,Low,1,7.8,Late - complex
REQ-00275,Public sector,HR services,Portal,Wales,Complaint,1,2,9,2,129.0,-0.133,0,0,Low,1,4.8,Late - dependency
REQ-00276,Enterprise,Facilities,Email,Midlands,Policy question,4,2,17,2,75.9,0.826,0,0,Urgent,0,4.2,On time
REQ-00277,SME,HR services,Chat,South East,Access issue,1,2,41,1,70.1,-0.906,1,0,Low,1,7.8,Late - staffing
REQ-00278,Enterprise,Finance operations,Portal,South East,Complaint,1,0,56,0,88.5,0.111,0,1,Low,1,4.3,Late - dependency
REQ-00279,Individual,IT support,Portal,South East,Access issue,5,1,50,1,69.9,0.693,0,0,Standard,1,9.6,Late - complex
REQ-00280,Individual,IT support,Portal,Midlands,Policy question,2,2,55,0,42.6,-0.351,0,0,Low,0,3.2,On time
REQ-00281,SME,Facilities,Portal,South East,Technical incident,3,3,51,0,52.0,-0.022,0,0,Standard,1,8.1,Late - dependency
REQ-00282,SME,IT support,Portal,North West,Complaint,2,0,28,1,31.1,-0.131,0,0,Low,0,0.5,Early close
REQ-00283,SME,IT support,Email,London,Technical incident,1,2,64,2,88.5,-0.258,0,1,Low,1,4.3,Late - staffing
REQ-00284,SME,IT support,Portal,South East,Policy question,1,1,13,1,70.4,0.16,0,1,Low,1,4.4,Late - staffing
REQ-00285,Public sector,IT support,Email,London,Complaint,1,0,50,1,57.4,-0.533,0,0,Low,1,4.8,Late - complex
REQ-00286,Enterprise,Customer success,Portal,North West,Access issue,3,3,8,0,50.2,0.0,0,0,Standard,1,8.2,Late - dependency
REQ-00287,SME,Finance operations,Portal,London,Complaint,3,1,55,0,87.7,0.282,0,0,Standard,1,5.0,Late - staffing
REQ-00288,Enterprise,Customer success,Portal,Wales,Change request,1,5,7,0,97.3,-0.047,0,0,Low,1,6.5,Late - staffing
REQ-00289,Enterprise,IT support,Phone,London,Complaint,2,1,16,2,30.4,-0.4,0,1,Standard,1,6.9,Late - staffing
REQ-00290,SME,Facilities,Email,South East,Billing query,2,1,28,1,24.9,0.514,0,0,Low,0,6.4,Early close
REQ-00291,Individual,Finance operations,Portal,Midlands,Access issue,3,0,50,1,103.4,0.379,0,1,Low,1,6.8,Late - complex
REQ-00292,SME,Finance operations,Phone,Midlands,Technical incident,5,1,4,1,21.9,-0.419,0,0,Urgent,1,7.5,Late - complex
REQ-00293,Individual,Customer success,Email,North West,Technical incident,4,0,19,1,89.2,-0.532,0,0,Standard,1,5.4,Late - staffing
REQ-00294,SME,Customer success,Portal,Wales,Technical incident,5,4,24,3,126.6,-0.378,0,0,Urgent,1,11.2,Late - complex
REQ-00295,Individual,Customer success,Chat,Wales,Complaint,1,2,52,0,126.7,0.295,0,0,Low,1,5.7,Late - dependency
REQ-00296,Individual,IT support,Portal,Scotland,Technical incident,2,3,69,3,95.8,0.174,1,0,Urgent,1,6.0,Late - staffing
REQ-00297,Individual,IT support,Portal,South East,Billing query,4,4,44,0,94.8,0.406,1,0,Urgent,1,6.2,Late - complex
REQ-00298,Individual,Facilities,Email,London,Policy question,2,5,37,3,148.8,-0.097,0,0,Standard,1,5.5,Late - complex
REQ-00299,Individual,Finance operations,Portal,Northern Ireland,Access issue,5,3,24,1,5.0,-0.366,0,0,Urgent,1,9.5,Late - dependency
REQ-00300,Public sector,Facilities,Portal,London,Billing query,3,0,59,0,53.7,0.463,0,0,Standard,0,4.6,On time
REQ-00301,Individual,HR services,Phone,Midlands,Access issue,2,3,8,0,99.7,-0.199,1,1,Urgent,1,3.7,Late - complex
REQ-00302,SME,HR services,Portal,South East,Change request,5,1,10,3,58.2,0.134,0,0,Urgent,1,8.9,Late - staffing
REQ-00303,Enterprise,Customer success,Phone,North West,Technical incident,3,1,15,0,113.4,-0.647,0,0,Standard,1,4.4,Late - staffing
REQ-00304,Enterprise,Facilities,Chat,South East,Technical incident,5,0,20,0,68.6,-0.206,0,0,Urgent,1,9.4,Late - dependency
REQ-00305,Individual,IT support,Email,London,Policy question,3,0,33,3,74.6,0.504,0,0,Standard,1,6.3,Late - complex
REQ-00306,Enterprise,IT support,Phone,Midlands,Technical incident,1,4,68,2,60.4,-0.272,0,1,Standard,1,4.8,Late - complex
REQ-00307,Enterprise,HR services,Phone,South East,Change request,4,2,47,2,51.7,0.417,0,0,Urgent,0,6.9,On time
REQ-00308,Public sector,HR services,Chat,London,Change request,1,3,28,0,50.9,-0.999,0,0,Low,1,5.5,Late - complex
REQ-00309,SME,IT support,Portal,London,Technical incident,4,1,16,3,79.5,-0.202,0,0,Urgent,1,8.8,Late - staffing
REQ-00310,SME,Finance operations,Portal,South East,Change request,3,0,47,1,42.9,-0.027,0,0,Standard,0,4.3,On time
REQ-00311,Enterprise,Facilities,Email,North West,Technical incident,4,3,18,1,103.4,0.834,0,0,Urgent,1,8.0,Late - complex
REQ-00312,Enterprise,Customer success,Email,Midlands,Policy question,5,4,70,1,92.9,-0.476,1,0,Urgent,1,8.7,Late - dependency
REQ-00313,SME,HR services,Portal,Midlands,Change request,3,5,34,0,108.5,0.352,0,0,Standard,1,7.8,Late - complex
REQ-00314,Enterprise,Finance operations,Email,South East,Policy question,5,1,40,1,30.5,0.526,1,1,Urgent,1,10.1,Late - dependency
REQ-00315,Enterprise,Finance operations,Portal,North West,Policy question,1,0,65,0,10.5,-0.275,0,0,Low,0,1.8,On time
REQ-00316,Enterprise,HR services,Chat,South East,Billing query,1,4,22,1,69.9,-0.118,1,0,Standard,0,4.4,On time
REQ-00317,Enterprise,Finance operations,Portal,Midlands,Technical incident,5,1,34,0,171.5,0.114,1,0,Urgent,1,7.0,Late - dependency
REQ-00318,Public sector,HR services,Portal,London,Technical incident,3,3,38,2,114.3,-0.617,1,0,Urgent,1,4.4,Late - complex
REQ-00319,SME,Facilities,Portal,North West,Technical incident,3,3,20,0,50.6,-0.155,0,0,Urgent,1,7.1,Late - complex
REQ-00320,Individual,IT support,Portal,North West,Policy question,1,2,4,1,84.9,0.624,0,0,Low,0,3.4,On time
REQ-00321,Individual,IT support,Portal,Scotland,Billing query,2,4,21,0,95.5,0.285,0,0,Standard,1,6.2,Late - complex
REQ-00322,Enterprise,IT support,Portal,South East,Change request,4,1,8,3,22.1,-0.021,0,0,Standard,0,3.6,On time
REQ-00323,Enterprise,Customer success,Portal,Scotland,Billing query,5,4,48,2,117.9,0.101,0,0,Urgent,1,9.4,Late - dependency
REQ-00324,Enterprise,Facilities,Portal,Wales,Complaint,5,1,1,2,64.1,0.311,1,0,Urgent,1,8.4,Late - dependency
REQ-00325,Individual,IT support,Portal,North West,Billing query,3,2,23,0,66.8,0.398,0,0,Standard,0,3.7,On time
REQ-00326,Public sector,Customer success,Portal,London,Technical incident,3,2,63,1,70.8,-0.2,0,0,Urgent,1,5.0,Late - complex
REQ-00327,Individual,HR services,Portal,North West,Technical incident,1,2,41,0,110.1,0.741,1,1,Low,0,2.7,On time
REQ-00328,Enterprise,HR services,Portal,Midlands,Change request,1,0,48,1,43.6,0.642,0,0,Low,1,5.0,Late - complex
REQ-00329,Public sector,Customer success,Portal,South East,Access issue,3,3,48,1,10.3,0.355,0,0,Standard,0,5.6,On time
REQ-00330,SME,IT support,Portal,Scotland,Complaint,3,1,22,0,81.3,-0.329,0,0,Standard,0,3.4,On time
REQ-00331,Public sector,IT support,Portal,Midlands,Technical incident,1,1,45,0,5.0,-0.409,0,0,Low,0,2.9,On time
REQ-00332,SME,HR services,Phone,London,Technical incident,3,3,16,1,59.5,-0.097,1,0,Urgent,1,8.0,Late - staffing
REQ-00333,Public sector,IT support,Chat,North West,Technical incident,4,0,46,0,111.5,0.077,0,0,Standard,1,5.5,Late - staffing
REQ-00334,Individual,Facilities,Chat,North West,Access issue,5,3,49,1,90.3,-0.746,0,0,Urgent,1,8.8,Late - complex
REQ-00335,SME,IT support,Email,Northern Ireland,Technical incident,5,1,63,0,106.5,0.273,0,0,Urgent,1,9.7,Late - complex
REQ-00336,Public sector,IT support,Email,South East,Billing query,2,3,66,2,91.7,0.629,0,0,Standard,1,4.5,Late - dependency
REQ-00337,SME,IT support,Portal,South East,Billing query,2,1,2,2,154.4,0.309,0,0,Low,1,6.8,Late - dependency
REQ-00338,Public sector,Finance operations,Phone,London,Technical incident,5,0,22,2,49.4,-0.254,1,0,Urgent,1,9.7,Late - dependency
REQ-00339,SME,IT support,Phone,London,Technical incident,4,3,39,1,83.9,-0.307,0,0,Urgent,1,7.5,Late - complex
REQ-00340,Individual,IT support,Phone,South East,Access issue,2,2,23,2,54.7,0.185,0,1,Low,0,3.5,On time
REQ-00341,SME,Customer success,Chat,Scotland,Access issue,4,1,44,0,103.5,-0.019,0,0,Standard,1,8.4,Late - complex
REQ-00342,Individual,Finance operations,Portal,Midlands,Access issue,1,1,61,2,67.8,0.249,0,1,Low,0,2.5,On time
REQ-00343,Individual,Finance operations,Phone,Midlands,Billing query,3,0,19,0,130.2,0.321,0,0,Low,0,1.4,Early close
REQ-00344,Public sector,IT support,Phone,Scotland,Technical incident,2,1,64,1,51.4,0.541,0,0,Low,0,3.5,Early close
REQ-00345,Individual,Finance operations,Portal,South East,Access issue,5,1,63,2,119.2,-0.459,0,0,Urgent,0,6.9,Early close
REQ-00346,Individual,IT support,Chat,Northern Ireland,Change request,1,2,65,1,90.8,0.15,1,0,Low,0,3.9,Early close
REQ-00347,Individual,Facilities,Portal,Scotland,Billing query,5,3,6,2,68.9,-0.114,0,0,Urgent,1,7.6,Late - complex
REQ-00348,SME,IT support,Chat,South East,Access issue,2,0,21,1,89.0,0.006,0,0,Standard,1,4.8,Late - staffing
REQ-00349,Public sector,Customer success,Phone,Midlands,Change request,1,1,9,1,79.1,0.439,0,0,Low,1,5.7,Late - staffing
REQ-00350,SME,Customer success,Portal,North West,Billing query,4,1,9,2,82.5,0.488,0,0,Urgent,1,7.1,Late - staffing
REQ-00351,Public sector,IT support,Email,Midlands,Policy question,4,4,4,1,62.8,0.679,0,1,Urgent,1,6.3,Late - dependency
REQ-00352,SME,IT support,Portal,London,Complaint,1,1,32,1,45.4,0.242,0,0,Standard,1,6.0,Late - staffing
REQ-00353,Public sector,IT support,Phone,South East,Complaint,1,2,7,1,58.3,0.0,0,1,Low,1,4.5,Late - dependency
REQ-00354,Public sector,Facilities,Phone,Midlands,Technical incident,1,1,21,0,11.1,-0.064,0,0,Low,1,5.8,Late - staffing
REQ-00355,Enterprise,IT support,Email,South East,Access issue,3,0,70,3,99.5,-0.731,0,0,Low,1,4.3,Late - complex
REQ-00356,Enterprise,Customer success,Phone,Wales,Technical incident,1,4,63,0,26.8,0.653,0,0,Low,1,5.3,Late - staffing
REQ-00357,Individual,Facilities,Portal,South East,Complaint,4,1,67,1,62.4,-0.095,0,0,Urgent,1,7.8,Late - dependency
REQ-00358,Individual,Customer success,Portal,London,Complaint,1,1,3,0,92.7,0.278,0,0,Low,0,2.6,On time
REQ-00359,Enterprise,HR services,Portal,London,Access issue,4,1,47,2,99.4,0.356,0,0,Urgent,1,5.8,Late - complex
REQ-00360,Public sector,Customer success,Portal,North West,Policy question,5,1,46,0,7.9,-0.51,0,0,Standard,1,5.2,Late - dependency
REQ-00361,Individual,IT support,Portal,South East,Billing query,4,3,10,1,66.8,-0.366,1,0,Urgent,1,9.6,Late - dependency
REQ-00362,SME,Finance operations,Portal,Scotland,Access issue,5,1,65,0,86.1,0.746,0,1,Urgent,0,6.6,On time
REQ-00363,SME,Finance operations,Portal,North West,Technical incident,5,2,29,0,71.8,0.181,0,0,Urgent,1,9.8,Late - dependency
REQ-00364,SME,Customer success,Portal,Midlands,Billing query,1,1,70,0,117.0,-0.211,0,0,Low,0,3.8,Early close
REQ-00365,Public sector,HR services,Phone,Scotland,Billing query,2,2,9,0,41.2,-0.007,0,0,Low,1,6.4,Late - staffing
REQ-00366,Enterprise,Customer success,Portal,Scotland,Access issue,4,2,47,1,5.0,0.539,0,0,Urgent,0,5.3,On time
REQ-00367,Individual,IT support,Chat,Scotland,Technical incident,2,1,10,1,98.4,0.47,0,0,Standard,0,4.2,On time
REQ-00368,Public sector,Customer success,Portal,London,Access issue,4,1,68,2,51.2,-0.61,0,0,Standard,1,8.9,Late - staffing
REQ-00369,Enterprise,HR services,Portal,South East,Policy question,4,3,44,1,8.5,0.785,0,0,Urgent,1,7.9,Late - staffing
REQ-00370,Individual,HR services,Email,Scotland,Access issue,5,1,6,3,64.5,0.485,0,0,Urgent,1,10.4,Late - complex
REQ-00371,Individual,Customer success,Portal,London,Complaint,2,1,16,2,113.1,-0.019,0,0,Standard,1,3.6,Late - staffing
REQ-00372,SME,Finance operations,Portal,Northern Ireland,Access issue,2,1,26,1,25.8,-0.486,0,0,Low,0,1.7,On time
REQ-00373,Enterprise,Finance operations,Email,Midlands,Technical incident,1,2,1,0,151.8,0.524,0,0,Low,1,6.0,Late - complex
REQ-00374,SME,HR services,Portal,South East,Billing query,2,1,1,1,40.7,0.264,0,1,Low,0,2.6,On time
REQ-00375,SME,IT support,Portal,Midlands,Access issue,2,1,66,1,73.0,-0.606,0,0,Low,1,7.9,Late - dependency
REQ-00376,SME,Finance operations,Email,Midlands,Billing query,3,2,70,2,27.3,-0.054,0,0,Standard,0,6.4,Early close
REQ-00377,Individual,IT support,Portal,North West,Access issue,3,0,39,3,71.5,1.0,0,0,Standard,0,6.1,On time
REQ-00378,Enterprise,IT support,Phone,South East,Access issue,5,2,65,0,65.3,0.057,0,0,Urgent,1,9.5,Late - staffing
REQ-00379,Enterprise,Customer success,Portal,South East,Technical incident,4,0,47,2,17.9,-0.284,0,0,Urgent,0,4.0,Early close
REQ-00380,Public sector,HR services,Chat,North West,Technical incident,4,1,2,0,168.9,-0.404,0,0,Urgent,0,3.4,On time
REQ-00381,Enterprise,Finance operations,Phone,London,Access issue,1,2,51,1,52.7,0.847,0,0,Low,0,4.8,Early close
REQ-00382,Individual,Finance operations,Chat,London,Policy question,3,2,2,1,52.7,0.431,0,0,Standard,1,4.8,Late - staffing
REQ-00383,Individual,Finance operations,Phone,South East,Technical incident,4,1,58,1,103.9,0.683,0,0,Urgent,1,9.1,Late - dependency
REQ-00384,Enterprise,Facilities,Portal,Midlands,Billing query,2,3,27,1,133.5,0.162,0,0,Standard,1,6.8,Late - staffing
REQ-00385,Enterprise,Customer success,Email,Midlands,Policy question,3,2,11,0,109.4,0.614,0,0,Low,1,6.5,Late - dependency
REQ-00386,Individual,Customer success,Portal,North West,Access issue,4,3,19,1,28.0,-0.332,0,0,Urgent,1,8.3,Late - staffing
REQ-00387,Public sector,Finance operations,Phone,London,Billing query,4,2,49,1,77.5,0.123,0,0,Urgent,1,8.1,Late - dependency
REQ-00388,Individual,Finance operations,Email,Scotland,Policy question,5,0,61,0,5.0,0.179,0,0,Urgent,1,7.6,Late - dependency
REQ-00389,SME,HR services,Portal,Wales,Complaint,3,3,41,1,101.6,0.672,0,0,Urgent,1,8.6,Late - complex
REQ-00390,Individual,HR services,Chat,Midlands,Complaint,2,4,12,0,12.8,0.193,0,0,Standard,0,6.2,On time
REQ-00391,Public sector,HR services,Portal,Midlands,Complaint,2,4,64,2,41.9,-0.231,1,0,Urgent,0,4.7,On time
REQ-00392,SME,Facilities,Email,Midlands,Policy question,4,0,57,1,69.9,0.079,1,0,Standard,1,6.2,Late - staffing
REQ-00393,Public sector,HR services,Phone,Midlands,Access issue,3,1,30,1,85.6,-0.704,0,0,Standard,1,7.9,Late - complex
REQ-00394,Public sector,Finance operations,Portal,Northern Ireland,Billing query,3,0,40,0,60.9,-0.994,1,0,Low,0,1.8,On time
REQ-00395,SME,Finance operations,Email,Scotland,Billing query,1,5,69,2,123.2,0.424,1,0,Low,1,6.2,Late - complex
REQ-00396,Enterprise,Finance operations,Phone,London,Access issue,3,1,27,0,95.3,-0.119,0,0,Standard,0,5.4,On time
REQ-00397,Individual,IT support,Portal,London,Access issue,2,1,2,1,92.6,-0.068,0,0,Low,1,4.4,Late - complex
REQ-00398,SME,IT support,Email,Scotland,Policy question,3,0,11,0,27.0,0.424,0,0,Standard,0,5.4,Early close
REQ-00399,Enterprise,Facilities,Portal,North West,Billing query,5,0,43,0,129.5,0.679,0,0,Urgent,1,7.8,Late - dependency
REQ-00400,Enterprise,Finance operations,Email,London,Access issue,4,5,71,2,41.9,0.291,0,0,Urgent,1,7.7,Late - dependency
REQ-00401,SME,IT support,Portal,Northern Ireland,Technical incident,3,3,53,0,130.8,0.918,0,0,Standard,1,8.1,Late - staffing
REQ-00402,Individual,HR services,Chat,London,Policy question,5,0,44,1,140.8,0.276,0,0,Standard,1,6.5,Late - staffing
REQ-00403,Individual,Facilities,Chat,Northern Ireland,Change request,5,1,23,1,87.9,0.186,0,0,Urgent,1,9.1,Late - staffing
REQ-00404,SME,IT support,Portal,Midlands,Billing query,3,2,32,3,106.1,0.158,0,0,Urgent,1,4.2,Late - complex
REQ-00405,Individual,Customer success,Portal,South East,Technical incident,4,0,3,1,5.0,-0.528,0,1,Standard,1,7.2,Late - complex
REQ-00406,Individual,Customer success,Email,South East,Access issue,2,4,27,0,63.2,0.48,0,0,Standard,0,4.6,On time
REQ-00407,SME,HR services,Phone,North West,Technical incident,5,2,45,0,108.6,-1.0,0,0,Urgent,1,7.8,Late - staffing
REQ-00408,Individual,Facilities,Portal,South East,Access issue,2,3,65,1,102.4,-0.214,0,1,Standard,0,4.7,On time
REQ-00409,SME,IT support,Portal,London,Access issue,2,1,66,2,27.3,0.06,0,0,Low,0,3.5,On time
REQ-00410,Individual,Customer success,Portal,Midlands,Technical incident,1,1,59,0,59.7,-0.305,0,0,Low,1,5.8,Late - complex
REQ-00411,Public sector,Finance operations,Chat,North West,Billing query,5,3,2,1,5.0,-0.153,0,0,Urgent,1,9.4,Late - staffing
REQ-00412,Public sector,Customer success,Portal,North West,Access issue,2,0,58,1,84.5,0.878,0,1,Low,0,3.8,On time
REQ-00413,SME,HR services,Phone,South East,Complaint,5,0,16,0,5.0,0.547,0,0,Urgent,1,8.2,Late - staffing
REQ-00414,Individual,IT support,Email,South East,Access issue,1,0,44,1,109.6,-0.259,0,0,Low,1,3.6,Late - complex
REQ-00415,SME,IT support,Chat,Scotland,Technical incident,3,4,68,0,111.4,-0.161,0,1,Urgent,0,5.0,On time
REQ-00416,SME,Facilities,Portal,South East,Technical incident,3,0,64,1,53.4,-0.525,0,0,Standard,1,6.3,Late - complex
REQ-00417,SME,HR services,Portal,London,Billing query,3,1,48,0,88.2,0.367,1,1,Urgent,0,4.3,On time
REQ-00418,Individual,IT support,Chat,South East,Policy question,1,2,22,0,62.4,-0.062,0,0,Low,0,4.3,On time
REQ-00419,SME,Facilities,Chat,North West,Access issue,1,1,37,0,78.5,-0.835,1,1,Low,0,2.8,On time
REQ-00420,Individual,Customer success,Portal,North West,Technical incident,2,1,50,1,29.8,0.095,0,0,Standard,1,5.9,Late - dependency
REQ-00421,Public sector,HR services,Portal,London,Billing query,3,0,37,1,91.8,0.248,0,0,Standard,1,4.3,Late - complex
REQ-00422,SME,HR services,Portal,North West,Billing query,4,1,29,0,12.6,0.483,1,1,Urgent,0,6.5,On time
REQ-00423,SME,IT support,Portal,North West,Billing query,3,2,29,2,6.0,0.017,1,0,Urgent,0,4.1,On time
REQ-00424,SME,Customer success,Portal,Scotland,Complaint,2,0,43,0,65.7,-0.118,0,0,Low,1,3.8,Late - staffing
REQ-00425,Public sector,Finance operations,Chat,London,Change request,2,1,3,0,62.6,0.944,0,0,Standard,0,5.6,On time
